,title,rating,calories,sodium,fat,protein,price,cooking_time,personal_rating,ingredients,keywords
22,Marbled Pumpkin-Maple Cheesecake Bars ,4.5,327.0,270.0,21.0,5.0,11.47,135.0,"[['jlp879 from SF, CA ', 5], ['Shirleywong814 from New York  ', 4], ['jaloc ', 5], ['karenfar from Huntington Beach, cA ', 5], ['winewiz from mt. prospect ', 3], ['waitz from Chicago ', 5], ['cggerard from Salt SSalt  ', 4], ['dbpearl from Long Beach, CA ', 5], ['gmga from Chicago ', 5]]","4 large eggs, room temperature 10 oz. graham crackers (about 20) ½ cup pure maple syrup 2 Tbsp. sugar ½ tsp. ground ginger ½ cup (1 stick) unsalted butter, melted, slightly cooled, plus more for pan 1 (15-oz.) can pumpkin purée 1½ tsp. pumpkin pie spice 2 tsp. vanilla extract 24 oz. cream cheese, room temperature, cut into small pieces 1 cup sugar ½ tsp. kosher salt 8 oz. sour cream, room temperature",dessert soy free small plates maple syrup vanilla butter web sour cream cheesecake tree nut free thanksgiving ginger peanut free pumpkin cream cheese kid-friendly fall halloween egg
23,"Braised Rotisserie Chicken with Bacon, Tomatoes, and Kale ",5.0,737.0,708.0,50.0,52.0,11.859,30.0,"[['502forestdrive4876 from Washington DC ', 5], ['cookninberkeley ', 5], ['moorloughmary from Edmonton, Alberta ', 4], ['camster6 from Nanaimo, BC ', 5], ['eeeshe706 from Florida ', 5], ['cookninberkeley ', 5], ['judekazmaier from Dallas, TX ', 5], ['nancybs from Scranton, PA ', 5], ['cathreno from New York, NY ', 5], ['pegemo from Ca wine country ', 5], ['carriewhittier from Penngrove, CA ', 5], ['JLott1 from From SC ', 5], ['bil from Augusta, GA ', 5], ['lindamaier from New Rochelle, NY ', 5], ['debbiekeithmiller from Leeds, Al ', 5], ['cdmarko from Texas ', 3], ['ealmanza from Austin, TX ', 5], ['zelda4epic from Florida ', 5], ['maxglider723 from Pittsburgh, PA ', 5], ['maxglider723 from Pittsburgh, PA ', 5], ['allisonlim from Singapore ', 5], ['philipmybeer from Magrathea ', 5]]","1 (14-ounce) can diced tomatoes 2 shallots, thinly sliced 1/2 teaspoon kosher salt Crusty bread, for serving 1/3 cup dry white wine 1 cup homemade chicken stock or low-sodium chicken broth 2 teaspoons finely chopped rosemary 4 ounces bacon (about 4 strips), sliced crosswise into 1/4"" strips 1 bunch curly kale, ribs and stems removed, torn into bite-sized pieces 1 rotisserie chicken, cut into 8 pieces 2 garlic cloves, finely chopped 1/4 teaspoon crushed red pepper flakes 2 teaspoons olive oil",30 days of groceries braise wheat/gluten-free soy free sugar conscious tomato tree nut free quick & easy web dinner peanut free bacon chicken dairy free kale
24,"Pork Tenderloin with Turmeric, Squash, and Collard Greens Salad ",4.5,656.0,1277.0,34.0,50.0,10.546999999999999,45.0,"[['pierceconway from Natick ', 5], ['ssawyer3 from Northern California ', 5], ['choirgirl116 from Montreal, QCMoMontreal, QCMontreal ', 4], ['sattesb from Charleston, WV ', 5], ['GWstables from Ocala, FL ', 5], ['cellardweller from Chatham, NJ ', 4], ['edseeger from Harker Heights, TX ', 5], ['a_pinch_of_salt from San Francisco ', 4], ['jcfrecipes from Pittsburgh ', 4], ['gargantujuan from Vancouver, WA ', 4], ['salimad1 from New York, NY ', 5], ['erkroner from Asheville, NC ', 4]]","1 teaspoon ground cumin 3 tablespoons fresh lime juice 3 1/2 teaspoons fish sauce 4 tablespoons coconut oil, warmed, divided 2 tablespoons vegetable or canola oil 1 teaspoon freshly ground black pepper 1/4 cup toasted coconut chips 2 small pork tenderloins (about 1 1/2 pounds total) 1 medium butternut squash (about 2 1/2 pounds), peeled 1 tablespoon honey 1 1/2 teaspoons kosher salt 1 1/2 teaspoons ground turmeric 1 cup plain Greek yogurt 1 large bunch collard greens (about 12 ounces)",collard greens pork wheat/gluten-free gluten-free and fresh quick and healthy butternut squash coconut fall southeast asian yogurt cumin roast dinner pork tenderloin web
25,Pull-Apart Bread with Pumpkin and Spinach ,4.5,388.0,301.0,19.0,8.0,12.168,145.0,"[['sdemaree from Californian living in London ', 5], ['creativemisso3053 from Louisiana ', 5], ['allimarx from New York ', 3], ['mldesm from andover ', 5], ['heatherjenkins from Edmonton, AB ', 5], ['jebrwnng from Michigan ', 5], ['joe_sevier2086 from Brooklyn, NY ', 5], ['kpalmer747 from Sweden ', 5], ['mldesm from andover ma ', 5], ['Psycleridr from Northern NJ ', 4], ['chrisgelica from California  ', 5], ['robin_shanz from New York, NY ', 5], ['happymama37 from Newton MA ', 5], ['fyryr from Fernley, NV ', 5], ['tegger57 from Hanover, NH ', 5], ['davisella from Canada ', 5], ['mickeyl ', 3], ['danipach from New York ', 3], ['dzma from Queens, NY ', 4], ['kwildau from france ', 3], ['agentmorgan from santa cruz, ca ', 5]]","¾ cup pumpkin purée (fresh or canned) ½ cup (packed) finely grated Pecorino cheese (about 1¼ ounces) ½ cup (packed) thawed, drained frozen spinach 10 tablespoons unsalted butter, melted, divided 3 cups all-purpose flour ¼ teaspoon freshly ground black pepper 1¼ teaspoons kosher salt, divided 1 teaspoon ground nutmeg Vegetable oil (for greasing) ¼ teaspoon garlic powder ⅔ cup lukewarm whole milk 1 large egg Flaky sea salt 1 teaspoon active dry yeast ¼ cup sugar",cheese bake spinach fall web bread pumpkin nutmeg
26,Orange Sweet Rolls ,5.0,194.0,110.0,11.0,2.0,7.5809999999999995,160.0,"[['rstarner3877 from Columbia, SC ', 5], ['mirandacaroligne from Southern Oregon ', 5], ['aporatelli from Buenos Aires, Argentina ', 5], ['tdowens3 from Seattle, WA ', 5], ['jlelliott from Madison, WI ', 5], ['morganmk ', 5], ['sandragee from Boston ', 5], ['ccstephanie from Boston, MA ', 5], ['ccstephanie from Cape Cod ', 5], ['robinsmillie from Toronto ', 5], ['kbbradford from North Alabama ', 5], ['s21melly from Toronto ', 5], ['Maryloucookie from Long Beach, CA ', 5]]","1/3 cup fresh orange juice 1 tablespoon finely grated orange zest 1/2 cup sugar Pinch of ground cardamom (optional) 1/2 teaspoon kosher salt 2 tablespoons melted coconut oil, cooled, or vegetable shortening 1 egg yolk, lightly beaten, room temperature 1/8 teaspoon kosher salt 1 2/3 cup cups all-purpose flour, plus more for surface Nonstick vegetable oil spray 1 (1/4-ounce) envelope active dry yeast (about 2 1/4 teaspoons) 1/2 cup (1 stick) unsalted butter, softened 2 tablespoons sugar, divided A 12-cup standard muffin tin",breakfast orange juice christmas orange web brunch alabama bread pastry
27,Veggie Burgers with Zucchini and Corn ,3.5,708.0,733.0,41.0,20.0,5.25,70.0,"[['keritilman from Newport, RI ', 2], ['Maddie Hj from Cape Cod, MA ', 3], ['jasmine00 from Santa Rosa, CA ', 4], ['kek2char5134 from Ohio ', 5], ['mrsmasterchief from Islamorada, FL ', 3], ['srmski from Mound, MN ', 2], ['betsyannie1970 from Richmond, VA ', 5], ['ditw from Islamorada, FL ', 3], ['gbsk12 from Alaska ', 4], ['jfbmd from Colorado ', 4], ['kitchensal701 from MI ', 2], ['elissa_anderss from Chicago  ', 4], ['raneylorene from Bergamo,Italy ', 2], ['alaskabasin from St Louis, MO ', 4], ['avery_ka from Michigan  ', 5], ['NightowlKnitter from Maryland ', 3]]","2 tablespoons vegetable oil, divided, plus more for brushing 1  teaspoon kosher salt, divided 1/2  cup finely chopped basil, divided 1 large onion 1/3  cup white beans, rinsed, divided 1 1/2 teaspoons finely grated lime zest 1/2 cup cornmeal 1 teaspoon freshly ground black pepper, divided 4 slices white cheddar 3/4 cup cooked millet or white quinoa 4 hamburger buns 1/4 cup frozen corn (preferably fire-roasted) , thawed, divided 1 1/2 teaspoons fresh lime juice Green leaf lettuce, (for serving) 1 1/2  cups (packed) coarsely grated zucchini (from about 1 medium zucchini), squeezed to remove excess water,  divided 1/3 cup mayonnaise 1 avocado, cubed, lightly smashed 1 garlic clove, coarsely chopped","wheat/gluten-free vegan zucchini back to school vegetarian grill no meat, no problem web bean corn"
28,Slow Cooker Pork Shoulder with Zesty Basil Sauce ,4.0,470.0,289.0,45.0,8.0,6.116999999999999,510.0,"[['chrisandnathalie ', 2], ['megan_hilga from Portland, OR ', 5], ['mairzi from Holyoke, MA ', 4], ['efgs from southern Ontario ', 2], ['m_bawn from Newmarket, ON ', 5], ['gstallings from Denver, CO ', 3], ['RosaR56 from Rockford, Illinois  ', 2], ['sschechtel from Washington, DC ', 5], ['jantomas from Texas ', 4], ['eljoy from Carlsbad, CA ', 5], ['glitterygarden from Baltimore, MD ', 5], ['feebs22 from Boise, ID ', 5], ['frantastic13 from Near Pittsburgh ', 2], ['bevoxv from Pearland, TX ', 5], ['bbpearson ', 2], ['dmhconsulting from Tallahassee, FL ', 5], ['scarey322597 from Minneapolis ', 5], ['epdietz ', 5], ['samabarnes ', 5], ['redhomer from Canada ', 5], ['plyshaw from Ashburn, Va. ', 2], ['ljassim from Santa Monica, CASanta Monica, CASAnta ', 5], ['heatherNYC ', 5], ['grantcarruthers from St Louis  ', 5], ['kb1950 from Vancouver, Canada ', 4]]","1/4 cup oregano leaves, finely chopped 3 tablespoons whole grain mustard 2  cups basil leaves, finely chopped 8 garlic cloves, finely chopped 3 tablespoons light brown sugar 1 skinless, boneless pork shoulder roast, tied (Boston butt; about 6 pounds) 1 teaspoon crushed red pepper flakes 2 teaspoons freshly ground black pepper 1 teaspoon kosher salt 1 large shallot, finely chopped 1/2 cup fresh lemon juice 2 teaspoons oregano leaves, finely chopped 1 1/4 cups extra virgin olive oil A (4-quart) slow cooker 1 1/2 teaspoons smoked paprika 1/4 cup olive oil 2 tablespoons kosher salt",basil pork wheat/gluten-free summer soy free entertaining tree nut free dairy free oregano web dinner peanut free paprika slow cooker mustard
29,Grain Bowl Soup ,3.5,1250.0,1121.0,62.0,50.0,16.023,45.0,"[['kdavidge from San Francisco, CA ', 5], ['blackrabbit from New Mexico, USA ', 2], ['Sgla from Houston  ', 4]]","3/4 cup extra-virgin olive oil, divided 2 shallots, thinly sliced 1/4 cup fresh lemon juice 1/2 cup finely chopped parsley (from about 1 bunch) 4 garlic cloves, thinly sliced 1 lb. mixed wild mushrooms, cut into 1/4"" slices 3 cups cooked grains, such as barley, quinoa, rice, farro, or spelt 7 cups homemade beef or chicken bone stock or low-sodium bone broth 1/2 cup finely chopped dill (from about 2 bunches) 1 1/2 tsp. kosher salt, plus more 1/4 tsp. crushed red pepper flakes 12 oz. mixed baby heirloom cherry tomatoes 1 large or 2 small bunches curly kale, stems removed, torn into pieces 1 tsp. honey",lemon juice soup/stew web parsley barley quinoa healthy kale rice dill garlic mushroom grains dinner winter honey lunch shallot stock tomato
30,Beer-Steamed Mussels with Chorizo ,4.0,1169.0,2712.0,72.0,83.0,6.4,30.0,"[['raikawolf from Santa Cruz, CA ', 4], ['hoeveler from Portland, OR ', 3], ['officerbill from Upstate NY ', 5], ['nellybird from Minneapolis, MN ', 5], ['janex ', 5], ['notre_chef_du_menage from Seattle, WA ', 5], ['rayreinhard from Santa Cruz, CA ', 3], ['nunzie52 from NYC ', 2], ['jlcollins1045 from Illinois ', 5]]","Hot sauce and crusty toasted bread (for serving; optional) 2 pounds mussels, scrubbed, debearded 1/2 cup coarsely chopped cilantro 1 tablespoon olive oil 1 teaspoon kosher salt 1 medium white onion, thinly sliced A large Dutch oven or braising pan with a lid 2 tablespoons unsalted butter 8 ounces fresh Mexican chorizo, casings removed 1 1/4 teaspoons ground cumin 2 garlic cloves, finely chopped, plus 1 sliced in half (optional) 1 (12-ounce) bottle Mexican beer, such as Pacifico",#cook90 steam garlic quick & easy mussel sausage web beer shellfish cilantro seafood
31,Broiled Cod with Fennel and Orange ,4.5,526.0,715.0,23.0,43.0,4.181,30.0,"[['mertracy2348 from Baltimore, MD ', 5], ['pieceful2249 from Massachusetts  ', 5], ['barbarawipf from Cohasset, MA ', 5], ['taranelson from Oakland, CA ', 4], ['callyg from Manchester, NH ', 5], ['trueirv from Barrie, ON ', 5], ['bonrob from Hernando, FL ', 5], ['BriarBertoch ', 5], ['andy_andersen from Hamilton ON ', 4], ['smauters ', 5], ['bwaldo from Birmingham, AL ', 5], ['kpfromchicago from Wilmette, IL  ', 5], ['kimtn from Lake Tahoe, CA ', 5], ['mainers ', 5], ['suaustin from Santa Barbara, CA ', 5], ['bparle from Montauk, NY ', 3], ['bparle from Montauk, NY ', 3], ['saraware from Chicago, Il ', 5], ['staceye121 from Boston, MA ', 5], ['boyle0 from St. Paul ', 5], ['karo_li from Netherlands ', 5], ['tscherba from Ontario, Canada ', 5], ['erkuchera from Minneapolis, MN ', 3], ['ditto ', 5], ['Annette58 from Brewster, MA  ', 5]]","2 tablespoons olive oil 1 small orange, preferably blood, thinly sliced 1 bunch broccolini, trimmed, halved (about 8 ounces) 1 tablespoon rosemary leaves 1/4 cup sliced almonds, chopped (about 1 ounce) 1/4 teaspoon crushed red pepper flakes (optional) 1 teaspoon kosher salt, divided 4 (6-ounce) skinless cod fillets 1/4 cup mayonnaise 1 (15.5-ounce) can white beans, drained, rinsed 2 teaspoons finely grated orange zest, divided 1 fennel bulb, very thinly sliced (about 12 ounces) 2 garlic cloves, finely grated, divided",wheat/gluten-free fish quick and healthy orange quick & easy garlic fennel sheet-pan dinner winter valentine's day web dinner bean cod seafood
32,Garlic Mojo Sauce ,5.0,368.0,329.0,36.0,1.0,9.059999999999999,30.0,"[['foodienats from Tucson, AZ ', 5], ['MeganMarissa from New York ', 5], ['baileyanddaisey from Castaic, CA ', 5], ['tsher from Chicao ', 5], ['ilona212 from Arizona ', 5], ['ilona212 from Arizona  ', 5], ['jdale922 from Norwalk, Ct ', 5], ['houtom from Houston, TX ', 5]]","1/2 teaspoon dried oregano 1/2 cup olive oil 1 teaspoon ground cumin 1/2 cup fresh lime juice (from about 4 limes) 1 medium Fresno chile, thinly sliced 1 1/2 teaspoons kosher salt 1/2 cup fresh orange juice (from about 1 orange) 8 garlic cloves, pressed or finely chopped",#cook90 orange juice garlic oregano chile pepper web cuban sauce lime juice condiment
33,Pantry Pasta Puttanesca ,4.5,791.0,721.0,34.0,30.0,4.03,35.0,"[['Catosixtails from New Mexico ', 4], ['hoosfoos from La Mesa, CA.  ', 5], ['jennyjp1 from Chicago, IL  ', 5], ['beebo1953 from Cathedral City, CA ', 4], ['Makbholloway from Baltimore ', 5], ['Fanny69 from Tucson AZ ', 2], ['mmmmmonica from Vancouver ', 4], ['malcolmxxx86 from Oakland, CA ', 4], ['skeetdiggy from North Carolina  ', 5], ['blessthybre from Shawnee, OK ', 4], ['donested from Stony Brook NY ', 5]]","6 oz. oil-packed tuna 1 lb. linguine or other long pasta Kosher salt 2 tsp. dried oregano 1/3 cup pitted Kalamata olives, halved 1 (14-oz.) can diced tomatoes 1/2 tsp. crushed red pepper flakes 1 Tbsp. tomato paste 6 oil-packed anchovy fillets 1/2 cup extra-virgin olive oil, divided 1/4 cup capers, drained",anchovy capers olive tuna tomato oregano web pasta
34,"Persian-Spiced Chicken with Spaghetti Squash, Pomegranate, and Pistachios ",4.5,847.0,953.0,62.0,46.0,5.519,60.0,"[['marlysws from Phoenix, AZ ', 5], ['jellis14 from Arlington, MA ', 5], ['leenieloo from Mundelein, IL ', 3], ['reischer from Boston, MA ', 4], ['kathiebriggs ', 3], ['thompsonae from PA ', 3], ['azzief1 from Los Angeles ', 4], ['raynfigi from Southampton NY.  ', 3], ['jellis14 from Arlington, MA ', 5], ['guytonkristi ', 5], ['dpastor from New York ', 4], ['mcontrado1 from Newburyport, MA ', 5], ['ercwjm from CT ', 3], ['hannahmattina from MI ', 2], ['humead ', 3], ['desonie from Phoenix, AZ ', 5], ['kathkat from N. California ', 5], ['MissRachelPaige from Minneapolis, MN ', 5], ['Camillka from Oregon ', 5], ['pixienoelle from Pennsylvania ', 5], ['lwhellams from Calgary, Alberta, Canada ', 5], ['shoelover1 from Florida ', 4], ['chasepdt from Livingston  ', 5], ['tgbcooks ', 5], ['lkelso from Kailua, HI ', 3]]","4 tablespoons olive oil, divided 2 teaspoons ground turmeric 1 tablespoon pomegranate molasses (see cooks' note) 1/3 cup pomegranate seeds 2 tablespoons fresh lemon juice 1/4 cup coarsely chopped mint, plus more for serving 1 medium spaghetti squash (2–2 1/2 pounds), halved lengthwise, seeded 1 medium red onion, peeled, quartered 1/2 cup roasted salted pistachios, coarsely chopped 1/4 cup coarsely chopped dill, plus more for serving 1 1/2 teaspoons ground allspice, divided 4 chicken legs (thigh and drumstick) 1 1/2 teaspoons kosher salt, divided 1/4 teaspoon cayenne pepper, divided",wheat/gluten-free soy free spice middle eastern dairy free fall sheet-pan dinner kosher pomegranate web dinner peanut free chicken healthy winter
35,Pumpkin and Cookie-Butter Sheet Cake with Toasted Meringue ,4.5,355.0,243.0,18.0,5.0,2.62,120.0,"[['acfisch from Cincinnati, OH ', 4], ['pdxgourmet from Portland, OR ', 2], ['gaelnyc from NYNNYNY ', 4], ['keriche from Washington  ', 4], ['jumpinjj ', 5], ['bridgetc1 from Louisiana ', 5], ['lchasson from Milan, Italy ', 3], ['estela64 from San Diego  ', 4], ['KristieLynn623 from Western New York ', 5], ['bbit from Boston, ma ', 5], ['kitchenlove from Ontario ', 5], ['mtulett from Victoria, BC ', 5], ['tucksings from Bakersville NC ', 5]]","4 large egg whites 1 teaspoon vanilla extract 1 cup (2 sticks) unsalted butter, room temperature, plus more for pan 2 cups (packed) light brown sugar 1 cup sour cream 2 tablespoons pepitas (pumpkin seeds) ½ teaspoon kosher salt 1⅓ cups canned pumpkin purée 1½ teaspoons ground cinnamon ½ teaspoon freshly grated nutmeg 4 large eggs 1 cup granulated sugar 2 teaspoons vanilla extract 1 tablespoon baking powder A 13x9"" baking pan, preferably light metal 1 teaspoon ground ginger 1 teaspoon freshly grated nutmeg 1 teaspoon kosher salt ½ teaspoon ground cinnamon ½ teaspoon baking soda ¾ cup speculoos cookie butter (preferably Biscoff) 3 cups all-purpose flour, plus more for pan",dessert thanksgiving soufflé/meringue bake cake fall web spice pumpkin
36,Stuffed Sweet Potatoes with Beans and Guacamole ,4.5,733.0,1509.0,34.0,23.0,7.128,35.0,"[['sheri2 from New Jersey  ', 5], ['lnhalverson from Seattle, WA ', 4], ['onestitch from Falls Church, VA ', 3], ['meghaneandrews from Greater Boston,  MA ', 4], ['mags425 from Colorado ', 5], ['jerirecipes from SC ', 4], ['rahappygirl from League City, TX ', 4], ['ps826@att.net from Texas via New Jersey ', 5], ['ps826@att.net from San Antonio, TX ', 5], ['leenieloo from Mundelein, IL ', 5], ['ilyssa2 from NY, NY ', 5], ['riverniles from Dallas, TX ', 5], ['RPVeg from Kenya ', 5], ['thompsonae from PA ', 3], ['Ash&Midge ', 5], ['golobolbol ', 5], ['andreaneronero from Albany, NY ', 5], ['lambr from Connecticut  ', 5], ['nick_wahl1 from Minneapolis, MN ', 5], ['jbully0 from Aurora ', 5], ['rudolphprather from San Diego ', 5], ['milehighmunchies from Denver ', 4], ['RegTerry from Oak park, IL ', 5], ['mselliott from Natick,MA ', 5], ['vukobratic from Ontario ', 5]]","3 tablespoons chopped cilantro, divided 2 cups baby spinach (about 2 ounces) 1 teaspoon kosher salt, divided 2 tablespoons fresh lime juice, divided 2 garlic cloves, finely chopped, divided 1 (15.5-ounce) can black beans, rinsed, drained 1 ripe avocado 2 medium sweet potatoes (about 9 ounces each) 1 ounce crumbled queso fresco (about 1/4 cup) 2 tablespoons melted virgin coconut or vegetable oil, divided 3/4 cup vegetable broth 1 red onion, coarsely chopped 1/2 teaspoon cayenne pepper, divided Tortilla chips (optional; for serving) 1/2 teaspoon ground cumin, divided","quick and healthy spinach vegetarian no meat, no problem onion garlic quick & easy paleo dinner web bean cilantro"
37,Slow-Cooker Chicken Congee ,4.0,318.0,807.0,8.0,30.0,9.469,490.0,"[['phyllis1_ from Louisiana ', 5], ['mulch from Alabama ', 2], ['jujuloafer from Lynn, MA ', 5], ['elntru ', 5], ['frantastic13 from Near Pittsburgh ', 2], ['artries1238 from Phoenix azZAZoePhoenixnix az ', 5], ['emancha from Montclair, CA ', 4], ['jng from USA ', 4], ['hugglesbe from MMahwah, nj ', 5], ['ktkell from Lincoln, NE ', 5]]","2 pounds boneless, skinless chicken thighs Cubed avocado, lime wedges, cilantro, sliced jalapeño, sliced scallions, chopped roasted, salted peanuts, chili oil, fish sauce, hot sauce, soy sauce, and/or crispy fried shallots (for serving; choose as many as you like) 1 (3"") piece ginger, thinly sliced 8 cups chicken stock 3 small dried red chiles, such as Thai or chile de arbol 1 1/2 teaspoons kosher salt 2 garlic cloves, pressed 1 cup long-grain rice",wheat/gluten-free rice garlic ginger web dinner chinese asian chicken
38,Easy Fried Rice with Chicken and Broccolini ,4.0,673.0,1089.0,29.0,38.0,14.019,22.0,"[['juls14 from Culver City, CA ', 3], ['sdclark from Victoria, BC ', 5], ['elizabeth_boyd5293 from ChciChicago, IL ', 5], ['carnix from GA ', 4], ['lawlbit from Toronto CA ', 5], ['deborahleewoodbury from Cary IL ', 4], ['r124911 from NC ', 5], ['de14031 from Buffalo,ny ', 2], ['de14031 from Buffalo, ny ', 2], ['de14031 from Buffalo, NY ', 2], ['vadeltachi from Washington, DC ', 5], ['grdollar from Sydney ', 5], ['kenneyp from sylvania, oh ', 5]]","1 bunch broccolini (about 6 ounces), ends trimmed, sliced in half lengthwise if stalks are thick 4 cups cooked white rice (preferably day-old, long-or medium-grain) 2 tablespoons fresh orange juice (from about 1/2 orange) Chili or sesame oil (optional; for serving) 3 tablespoons low-sodium soy sauce or tamari 1/4 cup vegetable oil, divided 1/2 teaspoon freshly ground black pepper 1 1/4 teaspoon kosher salt, divided 1 cup snow peas 1 teaspoon finely grated ginger 1/2 cup frozen edamame or green peas 2 garlic cloves, finely grated or pressed 1 pound chicken cutlets, cut into 1/2"" slices 4 scallions, sliced on the bias, divided 3 large eggs, beaten to blend",takeout at home orange juice soy sauce 22-minute meals rice pea garlic quick & easy egg web chinese dinner chicken
39,Calzones with Chorizo and Kale ,4.0,683.0,1608.0,31.0,33.0,10.18,120.0,"[['xmaskt from Boulder, CO ', 5], ['rayreinhard from California ', 2], ['kbst10 from Joshua Tree ', 3], ['cinnamonlips from Chicago, IL ', 5]]","1 tablespoon milk 3/4 teaspoon kosher salt 2 pounds fresh pizza dough 1 1/4 cups marinara sauce 1 tablespoon olive oil All-purpose flour (for rolling) 1 pound shredded mozzarella (about 4 cups) 1 large or 2 small bunches curly kale, ribs and stems removed, coarsely chopped 4 links fully cooked chorizo sausage (not dried, about 13 ounces), thinly sliced into coins 1 large egg 8 ounces crimini mushrooms, thinly sliced 1 1/2 teaspoons dried oregano",kid-friendly small plates bake freezer food mushroom dinner sausage web pizza kale
40,Warm Chicken Salad with Asparagus and Creamy Dill Dressing ,4.5,661.0,1209.0,44.0,41.0,7.971,30.0,"[['rebbeca from Highland Beach, FL ', 5], ['gerimosey from Reno, NV ', 5], ['ChefGiGiTra from Illinois ', 5], ['karenlecates from Atlanta, GA ', 5], ['brontebaird from Durango, CO ', 4], ['violaplayer from Poughkeepsie, NY ', 3], ['abby_rand from Brooklyn, NY ', 5]]","1 (2 1/2-pound) rotisserie chicken Kosher salt 1 pound baby new potatoes 2 cups watercress or baby arugula 2 tablespoons Dijon mustard 1/2 teaspoon freshly ground black pepper Lemon wedges (for serving) 3 tablespoons lemon juice 1 pound asparagus (about 1 bunch), trimmed 1/4 cup finely chopped dill 1/3 cup mayonnaise 1/2 cup mint leaves",asparagus 30 days of groceries quick and healthy dill lemon quick & easy potato web dinner spring chicken watercress mint
41,Hot Honey Pork Chops with Escarole and White Beans ,4.5,539.0,758.0,24.0,37.0,15.753999999999998,30.0,"[['ElaineGloeckle from Boise, Idaho  ', 5], ['schoharie ', 5], ['betteraskjeeves from Ohio ', 4], ['elisabethdw from Los Angeles, CA ', 5], ['pegreinha from St. Augustine, FL ', 4], ['nk47 from NY ', 4], ['deborahck from Milan, Italy ', 5], ['wbouck from San Francisco, CA ', 4], ['malinda from Sharon, Ohio ', 5], ['serena72 from a time when Epi was for cooks ', 2], ['bas614 from Boston ', 4]]","1 (15-oz.) can white kidney beans, drained, rinsed 1/2 tsp. freshly ground black pepper 4 (1""-thick) small bone-in pork chops (about 2 lb. total) 1/2 tsp. (or more) crushed red pepper flakes 2 Tbsp. plus 1 tsp. apple cider vinegar, divided 4 garlic cloves, peeled, thinly sliced 3 Tbsp. extra-virgin olive oil, divided 1 small or 1/2 large head of escarole, coarsely chopped 2 tsp. kosher salt, divided 6 Tbsp. honey",pork wheat/gluten-free 30 days of groceries pork chop one-pot meal dairy free garlic quick & easy honey escarole web dinner bean vinegar
42,Roasted Sweet Potato and Delicata Squash with Cranberry Agrodolce ,4.0,437.0,694.0,4.0,5.0,2.8,75.0,"[['cathywayland from Nashville TN ', 5], ['adupay from Roseville,MN ', 5], ['adupay from Roseville, MN ', 5], ['kathiet from Cincinnati, Ohio ', 5], ['davidtamarkin from Brooklyn, NY ', 5], ['svchickadee from Washington state ', 2], ['jannaslaughter from CA ', 3], ['ericaca from Manhattan Beach, CA ', 2]]","8 ounces fresh cranberries 4 delicata squash (about 4 pounds total), halved crosswise, seeded, sliced into ½""-thick rings 1 teaspoon crushed red pepper flakes 2 tablespoons extra-virgin olive oil 3 pounds sweet potatoes (about 7 small or 5 medium), cut into ¾""-thick rounds 2 ½ teaspoons kosher salt, divided 15 small sprigs thyme, divided 2 cups red wine vinegar 1 ½ cups sugar",wheat/gluten-free cranberry sweet potato/yam vegan thyme thanksgiving soy free tree nut free dairy free quick & easy vegetarian web side peanut free squash vinegar
43,10-Minute Sausage Skillet with Cherry Tomatoes and Broccolini ,5.0,467.0,1050.0,36.0,21.0,7.380000000000001,10.0,"[['mrsmunch from CT ', 5], ['knipp_donna from NYC ', 5], ['meekk from California ', 5], ['manhattantart from Manhattan Beach, CA ', 5], ['jerirecipes from SC ', 5], ['cindyroche from Los Angeles, CA ', 5], ['charface from Portland, OR ', 5], ['speck30 from Richmond, VA ', 5], ['drloverde from Sherman Oaks, CA ', 4], ['kjwitbeck ', 5], ['jessilein from Boulder, CO ', 5], ['iybaron258790 ', 5], ['jessicashebby841 from San Diego, CA  ', 5], ['yummydishes from Rock Hall, MD ', 5], ['B&Gcooking from Victoria, BBC ', 5], ['souricette from Montréal, Québec, Canada  ', 5], ['hlargura from Indiana ', 5]]","4 sprigs thyme Crusty bread (for serving; optional) 1/2 teaspoon kosher salt 1 tablespoon olive oil 2 bunches broccolini (about 1 pound), trimmed, halved lengthwise 1/4 teaspoon freshly ground black pepper 2 garlic cloves, pressed or finely chopped 2 pints cherry tomatoes 3 tablespoons unsalted butter, cubed 12 ounces fully cooked Italian sausage (about 4 links), sliced into 1/4""-thick coins",kid-friendly small plates thyme one-pot meal tomato quick & easy garlic sausage web dinner
